id_ext,date,casa,PL 1321/2019,Anistia Tributaria para Partidos,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
2193540,2019-06-17,camara,0,0,False,0,0,0,47
2193540,2019-06-24,camara,0,0,False,0,0,0,47
2193540,2019-07-01,camara,0,0,False,0,0,0,47
2193540,2019-07-08,camara,0,0,False,0,0,0,47
2193540,2019-07-15,camara,0,0,False,0,0,0,47
2193540,2019-07-22,camara,0,0,False,0,0,0,47
2193540,2019-07-29,camara,0,0,False,0,0,0,47
2193540,2019-08-05,camara,0,0,False,0,0,0,47
2193540,2019-08-12,camara,0,0,False,0,0,0,47
2193540,2019-08-19,camara,0,0,False,0,0,0,47
2193540,2019-08-26,camara,0,0,False,0,0,0,47
2193540,2019-09-02,camara,0,0,False,0,0,0,47
2193540,2019-09-09,camara,0,0,False,0,0,0,47
2193540,2019-09-16,camara,0,0,False,0,0,0,47
2193540,2019-09-23,camara,0,0,False,0,0,0,47
2193540,2019-09-30,camara,0,0,False,0,0,0,47
2193540,2019-10-07,camara,0,0,False,0,0,0,47
2193540,2019-10-14,camara,0,0,False,0,0,0,47
2193540,2019-10-21,camara,0,0,False,0,0,0,47
2193540,2019-10-28,camara,0,0,False,0,0,0,47
2193540,2019-11-04,camara,0,0,False,0,0,0,47
2193540,2019-11-11,camara,0,0,False,0,0,0,47
2193540,2019-11-18,camara,0,0,False,0,0,0,47
2193540,2019-11-25,camara,96,0,False,96,0,96,47
2193540,2019-12-02,camara,0,0,False,0,0,0,47
2193540,2019-12-09,camara,100,0,False,100,0,100,47
